study	reference	condition	hormone	glc_unit	glc	mean	se	unit
DoseResponse	Degn2004	normal	epinephrine	mM	5.22512	1101.6394	196.7212	pM
DoseResponse	Degn2004	normal	epinephrine	mM	5.200525	836.06555	206.55737	pM
DoseResponse	Degn2004	normal	epinephrine	mM	5.21855	727.86884	186.88526	pM
DoseResponse	Degn2004	normal	epinephrine	mM	4.98384	570.49182	137.70492	pM
DoseResponse	Degn2004	normal	epinephrine	mM	5.07303	570.49182	98.36069	pM
DoseResponse	Degn2004	normal	epinephrine	mM	4.0437	629.50818	98.3606600000001	pM
DoseResponse	Degn2004	normal	epinephrine	mM	3.91784	747.54095	147.54095	pM
DoseResponse	Degn2004	normal	epinephrine	mM	3.42548	2203.27881	226.22962	pM
DoseResponse	Degn2004	normal	epinephrine	mM	3.35927	2813.11475	501.63941	pM
DoseResponse	Degn2004	normal	epinephrine	mM	2.98529	4583.60645	590.16382	pM
DoseResponse	Degn2004	normal	epinephrine	mM	3.03731	4957.37695	718.03271	pM
DoseResponse	Degn2004	normal	epinephrine	mM	3.554005	2901.6394	649.18042	pM
DoseResponse	Degn2004	normal	epinephrine	mM	4.01096	1681.96716	157.37695	pM
DoseResponse	Degn2004	normal	epinephrine	mM	4.148315	1259.01636	118.03272	pM
DoseResponse	Degn2004	normal	epinephrine	mM	4.46464	1042.62292	157.37701	pM
DoseResponse	Degn2004	normal	epinephrine	mM	4.80751	1140.98364	88.5246599999998	pM
DoseResponse	Israelian2006	normal	epinephrine	mM	5.45	97.28	26.72	pM
DoseResponse	Israelian2006	normal	epinephrine	mM	5.43	86.58	17.79	pM
DoseResponse	Israelian2006	normal	epinephrine	mM	3.95	200.5	35.6	pM
DoseResponse	Israelian2006	normal	epinephrine	mM	3.21	1115.63	284.89	pM
DoseResponse	Israelian2006	normal	epinephrine	mM	3.18	1398.72	311.58	pM
DoseResponse	Israelian2006	normal	epinephrine	mM	3.21	1655.1	293.77	pM
