study	reference	condition	hormone	glc_unit	glc	mean	se	unit
DoseResponse	Degn2004	normal	glucagon	mM	5.22512	16.7177216642755	0.480662840746054	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.2172	18.2870530846485	1.20178766140603	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.18385	15.2874117647059	0.721885222381637	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.21855	14.0914662840746	1.44275179340029	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.17659	14.7020086083214	0.720614060258249	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.1097	11.7054146341463	0.720361549497846	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.91045	11.9547604017217	1.56272883787661	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.98384	9.92051076040172	1.44300717360115	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.006165	8.84783931133429	1.32353802008608	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.054	8.25532568149211	1.44224390243902	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.96978	8.14423816355811	1.08155523672884	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.07303	8.1541406025825	1.20204017216643	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.43479	8.28376470588235	1.32226972740316	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.0437	11.4186169296987	1.20204017216643	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.887055	12.990737446198	0.961833572453372	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.91784	13.3608235294118	1.08232137733142	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.556605	16.9765911047346	2.16387661406026	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.42548	23.2381664275466	1.32252510760402	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.34979	26.2527890961263	3.12621807747489	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.35927	31.6725050215208	3.48665136298422	pM
DoseResponse	Degn2004	normal	glucagon	mM	2.98529	39.4968091822095	4.9288981348637	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.03731	51.1681979913917	6.97304734576757	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.554005	38.7939684361549	4.80892109038738	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.01096	22.8126025824964	2.88525107604017	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.148315	16.6908091822095	1.08257388809182	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.46464	16.6994404591105	1.08155523672884	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.589185	15.5060344332855	1.56247345767575	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.80751	12.6304332855093	1.20153228120516	pM
DoseResponse	Israelian2006	normal	glucagon	mM	5.45	22.41	3.34	pM
DoseResponse	Israelian2006	normal	glucagon	mM	5.43	21.44	3.78	pM
DoseResponse	Israelian2006	normal	glucagon	mM	3.95	24.43	3.34	pM
DoseResponse	Israelian2006	normal	glucagon	mM	3.21	33.36	6.68	pM
DoseResponse	Israelian2006	normal	glucagon	mM	3.18	38.39	8.01	pM
DoseResponse	Israelian2006	normal	glucagon	mM	3.21	42.65	8.68	pM
DoseResponse	Knop2007	normal	glucagon	mM	5.39	7.91	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	5.38	7.61	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	5.38	7.49	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	6.93	6.98	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	9.72	5.29	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	8.51	4.99	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	5.31	5.79	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	4.91	5.95	NA	pM
DoseResponse	Knop2007	normal	glucagon	mM	4.98	6.47	NA	pM
DoseResponse	Lerche2009	normal	glucagon	mM	5.00136	6.20408	0.93878	pM
DoseResponse	Lerche2009	normal	glucagon	mM	4.9611	4.73469	1.06123	pM
DoseResponse	Lerche2009	normal	glucagon	mM	4.64256	5.30612	0.7347	pM
DoseResponse	Lerche2009	normal	glucagon	mM	4.45498	7.06122	1.71429	pM
DoseResponse	Lerche2009	normal	glucagon	mM	4.24283	7.59184	1.83673	pM
DoseResponse	Lerche2009	normal	glucagon	mM	4.01431	9.71429	2.73469	pM
DoseResponse	Lerche2009	normal	glucagon	mM	4.26057	12.36735	2.93877	pM
DoseResponse	Lerche2009	normal	glucagon	mM	3.84379	15.38776	3.30612	pM
DoseResponse	Lerche2009	normal	glucagon	mM	3.83627	14.2449	2.2449	pM
DoseResponse	Lerche2009	normal	glucagon	mM	3.6487	18.97959	3.95919	pM
DoseResponse	Lerche2009	normal	glucagon	mM	3.8131	16.0	2.2449	pM
DoseResponse	Lerche2009	normal	glucagon	mM	3.65826	20.2449	2.77551	pM
DoseResponse	Lerche2009	normal	glucagon	mM	3.95362	16.08163	3.30612	pM
DoseResponse	Levy1998	normal	glucagon	mM	4.4	27.1260057388809	NA	pM
DoseResponse	Levy1998	normal	glucagon	mM	3.9	33.8956527977045	NA	pM
DoseResponse	Levy1998	normal	glucagon	mM	3.3	35.6026542324247	NA	pM
DoseResponse	Levy1998	normal	glucagon	mM	2.8	59.2380602582496	NA	pM
DoseResponse	Levy1998	normal	glucagon	mM	2.2	73.6126197991392	NA	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	5.33	42.71	6.56	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	5.33	44.04	5.68	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	5.33	43.19	5.24	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	4.8	41.04	4.37	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	4.31	46.32	5.68	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	4.37	46.36	6.55	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	3.84	49.45	4.81	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	3.68	56.48	7.43	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	3.59	68.31	6.99	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	3.24	80.15	6.99	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	3.06	99.85	9.18	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	3.07	108.62	12.24	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	2.57	111.72	13.55	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	2.4	121.37	15.73	pM
DoseResponse	Mitrakou1991	normal	glucagon	mM	2.41	113.54	14.85	pM
DoseResponse	Basu2009	normal	glucagon	mM	5.27	41.56	2.0	pM
DoseResponse	Basu2009	normal	glucagon	mM	5.14	40.97	1.0	pM
DoseResponse	Basu2009	normal	glucagon	mM	5.27	44.37	2.0	pM
DoseResponse	Basu2009	normal	glucagon	mM	5.65	46.17	2.0	pM
DoseResponse	Basu2009	normal	glucagon	mM	6.54	44.18	2.6	pM
DoseResponse	Basu2009	normal	glucagon	mM	7.68	46.58	2.8	pM
DoseResponse	Basu2009	normal	glucagon	mM	9.52	48.58	2.8	pM
DoseResponse	Basu2009	normal	glucagon	mM	10.41	49.19	5.0	pM
DoseResponse	Basu2009	normal	glucagon	mM	10.86	45.19	3.2	pM
DoseResponse	Basu2009	normal	glucagon	mM	10.54	46.4	2.6	pM
DoseResponse	Basu2009	normal	glucagon	mM	9.52	45.21	3.2	pM
DoseResponse	Basu2009	normal	glucagon	mM	8.95	44.81	3.4	pM
DoseResponse	Basu2009	normal	glucagon	mM	7.81	44.03	2.6	pM
DoseResponse	Basu2009	normal	glucagon	mM	6.6	47.04	2.4	pM
DoseResponse	Basu2009	normal	glucagon	mM	5.78	45.46	2.0	pM
DoseResponse	Basu2009	normal	glucagon	mM	5.59	52.47	3.2	pM
DoseResponse	Basu2009	normal	glucagon	mM	5.4	56.48	3.8	pM
DoseResponse	Basu2009	normal	glucagon	mM	5.4	54.49	3.4	pM
DoseResponse	Basu2009	normal	glucagon	mM	5.46	55.9	3.8	pM
DoseResponse	Basu2009	normal	glucagon	mM	5.33	55.11	4.2	pM
DoseResponse	Basu2009	normal	glucagon	mM	5.21	54.54	4.4	pM
DoseResponse	Butler1991	normal	glucagon	mM	5.44	45.92	NA	pM
DoseResponse	Butler1991	normal	glucagon	mM	8.65	46.77	NA	pM
DoseResponse	Butler1991	normal	glucagon	mM	8.63	42.11	NA	pM
DoseResponse	Butler1991	normal	glucagon	mM	7.54	40.48	NA	pM
DoseResponse	Butler1991	normal	glucagon	mM	5.54	46.84	NA	pM
DoseResponse	Butler1991	normal	glucagon	mM	5.26	53.17	NA	pM
DoseResponse	Butler1991	normal	glucagon	mM	4.9	53.28	NA	pM
DoseResponse	Butler1991	normal	glucagon	mM	4.78	51.79	NA	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	4.51	23.95	0.06	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	4.88	22.95	0.12	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	4.86	22.82	0.04	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	9.15	23.15	0.13	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	8.26	21.62	0.19	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	7.01	22.37	0.04	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	5.91	23.68	0.09	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	5.16	26.2	0.32	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	4.77	27.66	0.22	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	4.9	28.05	0.08	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	5.03	27.01	0.22	pM
DoseResponse	Cobelli2010	normal	glucagon	mM	4.98	25.85	0.19	pM
DoseResponse	Fery1993	normal	glucagon	mM	5.52	49.53	NA	pM
DoseResponse	Fery1993	normal	glucagon	mM	7.67	50.84	NA	pM
DoseResponse	Fery1993	normal	glucagon	mM	9.69	46.8	NA	pM
DoseResponse	Fery1993	normal	glucagon	mM	10.8	42.78	NA	pM
DoseResponse	Fery1993	normal	glucagon	mM	10.63	40.0	NA	pM
DoseResponse	Fery1993	normal	glucagon	mM	8.57	37.89	NA	pM
DoseResponse	Fery1993	normal	glucagon	mM	7.36	37.37	NA	pM
DoseResponse	Fery1993	normal	glucagon	mM	6.41	36.83	NA	pM
DoseResponse	Fery1993	normal	glucagon	mM	5.33	41.0	NA	pM
