study	reference	condition	hormone	glc_unit	glc	mean	se	unit
DoseResponse	Degn2004	normal	glucagon	mM	5.2251199999999995	56.8402536585367	1.6342536585365834	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.2172	62.17598048780489	4.086078048780502	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.18385	51.97720000000006	2.454409756097566	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.21855	47.910985365853634	4.905356097560986	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.17659	49.98682926829276	2.450087804878047	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.1097	39.79840975609742	2.449229268292676	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.91045	40.646185365853775	5.313278048780474	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.98384	33.72973658536585	4.906224390243909	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.006165	30.08265365853658	4.500029268292673	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.053999999999999	28.068107317073174	4.903629268292668	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.96978	27.690409756097576	3.6772878048780564	pM
DoseResponse	Degn2004	normal	glucagon	mM	5.07303	27.7240780487805	4.086936585365862	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.4347900000000005	28.16479999999999	4.495717073170743	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.0437	38.823297560975575	4.086936585365862	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.887055	44.1685073170732	3.2702341463414646	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.91784	45.42680000000012	3.6798926829268277	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.5566050000000002	57.72040975609763	7.357180487804884	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.4254800000000003	79.00976585365845	4.496585365853668	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.34979	89.25948292682942	10.629141463414626	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.3592699999999995	107.68651707317072	11.854614634146348	pM
DoseResponse	Degn2004	normal	glucagon	mM	2.98529	134.28915121951232	16.758253658536578	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.0373099999999997	173.9718731707318	23.70836097560974	pM
DoseResponse	Degn2004	normal	glucagon	mM	3.554005	131.89949268292665	16.350331707317093	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.01096	77.56284878048776	9.809853658536579	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.148315	56.74875121951229	3.6807512195121874	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.46464	56.7780975609757	3.6772878048780564	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.589185	52.720517073170704	5.31240975609755	pM
DoseResponse	Degn2004	normal	glucagon	mM	4.80751	42.943473170731615	4.0852097560975436	pM
DoseResponse	Israelian2006	normal	glucagon	mM	5.45	76.194	11.356	pM
DoseResponse	Israelian2006	normal	glucagon	mM	5.43	72.896	12.851999999999999	pM
DoseResponse	Israelian2006	normal	glucagon	mM	3.95	83.062	11.356	pM
DoseResponse	Israelian2006	normal	glucagon	mM	3.21	113.42399999999999	22.712	pM
DoseResponse	Israelian2006	normal	glucagon	mM	3.18	130.526	27.233999999999998	pM
DoseResponse	Israelian2006	normal	glucagon	mM	3.21	145.01	29.511999999999997	pM
DoseResponse	Lerche2009	normal	glucagon	mM	5.00136	21.093872	3.191852	pM
