study	reference	condition	hormone	glc_unit	glc	mean	se	unit
DoseResponse	Lerche2009	normal	insulin	mM	3.95	17.87	3.15	pM
DoseResponse	Lerche2009	normal	insulin	mM	3.95	15.77	1.05	pM
DoseResponse	Lerche2009	normal	insulin	mM	5.16	72.54	9.46	pM
DoseResponse	Lerche2009	normal	insulin	mM	7.15	162.94	27.33	pM
DoseResponse	Lerche2009	normal	insulin	mM	9.23	300.66	67.28	pM
DoseResponse	Lerche2009	normal	insulin	mM	10.2	326.94	80.95	pM
DoseResponse	Lerche2009	normal	insulin	mM	10.51	426.81	91.46	pM
DoseResponse	Lerche2009	normal	insulin	mM	9.24	338.5	89.36	pM
DoseResponse	Lerche2009	normal	insulin	mM	7.96	244.94	58.87	pM
DoseResponse	Lerche2009	normal	insulin	mM	6.38	85.15	21.02	pM
DoseResponse	Lerche2009	normal	insulin	mM	5.00136	22.18281	2.53752	pM
DoseResponse	Lerche2009	normal	insulin	mM	4.9611	15.79809	1.0641200000000002	pM
DoseResponse	Lerche2009	normal	insulin	mM	4.64256	10.55935	0.40926999999999897	pM
DoseResponse	Lerche2009	normal	insulin	mM	4.45498	12.032739999999999	1.7598900000000002	pM
DoseResponse	Lerche2009	normal	insulin	mM	4.2428300000000005	12.40109	1.30969	pM
DoseResponse	Lerche2009	normal	insulin	mM	4.01431	13.137789999999999	2.2101	pM
DoseResponse	Lerche2009	normal	insulin	mM	4.2605699999999995	13.83356	2.25102	pM
DoseResponse	Lerche2009	normal	insulin	mM	3.8437900000000003	10.92769	0.8185600000000001	pM
DoseResponse	Lerche2009	normal	insulin	mM	3.83627	10.191	0.16371	pM
DoseResponse	Lerche2009	normal	insulin	mM	3.6487	10.76398	0.81855	pM
DoseResponse	Lerche2009	normal	insulin	mM	3.8131	10.027289999999999	0.0409300000000012	pM
DoseResponse	Lerche2009	normal	insulin	mM	3.65826	12.23738	2.21009	pM
DoseResponse	Lerche2009	normal	insulin	mM	3.95362	13.342429999999998	2.70123	pM
DoseResponse	Basu2009	normal	insulin	mM	5.27	26.8	20.26	pM
DoseResponse	Basu2009	normal	insulin	mM	5.14	26.55	27.03	pM
DoseResponse	Basu2009	normal	insulin	mM	5.27	56.91	33.8	pM
DoseResponse	Basu2009	normal	insulin	mM	6.54	235.88	37.16	pM
DoseResponse	Basu2009	normal	insulin	mM	7.68	313.55	60.82	pM
DoseResponse	Basu2009	normal	insulin	mM	9.52	506.03	77.71	pM
DoseResponse	Basu2009	normal	insulin	mM	10.41	614.06	114.86	pM
DoseResponse	Basu2009	normal	insulin	mM	10.86	627.49	91.23	pM
DoseResponse	Basu2009	normal	insulin	mM	10.54	674.71	114.87	pM
DoseResponse	Basu2009	normal	insulin	mM	9.52	607.03	118.24	pM
DoseResponse	Basu2009	normal	insulin	mM	8.95	478.53	81.07	pM
DoseResponse	Basu2009	normal	insulin	mM	7.81	403.96	70.95	pM
DoseResponse	Basu2009	normal	insulin	mM	6.6	248.31	77.71	pM
DoseResponse	Basu2009	normal	insulin	mM	5.78	210.92	54.05	pM
DoseResponse	Basu2009	normal	insulin	mM	5.59	166.75	33.78	pM
DoseResponse	Basu2009	normal	insulin	mM	5.4	92.19	23.64	pM
DoseResponse	Basu2009	normal	insulin	mM	5.4	105.54	23.64	pM
DoseResponse	Basu2009	normal	insulin	mM	5.46	88.49	23.65	pM
DoseResponse	Basu2009	normal	insulin	mM	5.33	81.57	20.27	pM
DoseResponse	Basu2009	normal	insulin	mM	5.21	50.69	13.51	pM
DoseResponse	Butler1991	normal	insulin	mM	5.44	96.03	66.88	pM
DoseResponse	Butler1991	normal	insulin	mM	8.65	559.74	137.47	pM
DoseResponse	Butler1991	normal	insulin	mM	8.63	562.69	63.19	pM
DoseResponse	Butler1991	normal	insulin	mM	7.54	417.07	66.84	pM
DoseResponse	Butler1991	normal	insulin	mM	5.54	293.71	74.32	pM
DoseResponse	Butler1991	normal	insulin	mM	5.26	169.61	55.72	pM
DoseResponse	Butler1991	normal	insulin	mM	4.9	93.8	55.71	pM
DoseResponse	Butler1991	normal	insulin	mM	4.78	62.6	48.31	pM
DoseResponse	Cobelli2010	normal	insulin	mM	4.51	25.34	3.2	pM
DoseResponse	Cobelli2010	normal	insulin	mM	4.88	24.27	1.56	pM
DoseResponse	Cobelli2010	normal	insulin	mM	4.86	25.18	0.43	pM
DoseResponse	Cobelli2010	normal	insulin	mM	4.9	34.22	0.08	pM
DoseResponse	Cobelli2010	normal	insulin	mM	5.23	63.69	23.15	pM
DoseResponse	Cobelli2010	normal	insulin	mM	6.33	162.63	70.54	pM
DoseResponse	Cobelli2010	normal	insulin	mM	7.61	271.53	122.74	pM
DoseResponse	Cobelli2010	normal	insulin	mM	9.15	462.4	164.79	pM
DoseResponse	Cobelli2010	normal	insulin	mM	9.29	376.27	93.37	pM
DoseResponse	Cobelli2010	normal	insulin	mM	8.82	340.24	30.48	pM
DoseResponse	Cobelli2010	normal	insulin	mM	8.26	342.93	20.97	pM
DoseResponse	Cobelli2010	normal	insulin	mM	7.57	280.28	41.16	pM
DoseResponse	Cobelli2010	normal	insulin	mM	7.01	277.62	83.92	pM
DoseResponse	Cobelli2010	normal	insulin	mM	5.91	174.45	113.01	pM
DoseResponse	Cobelli2010	normal	insulin	mM	5.16	124.52	78.66	pM
DoseResponse	Cobelli2010	normal	insulin	mM	4.77	78.07	58.08	pM
DoseResponse	Cobelli2010	normal	insulin	mM	4.75	55.96	40.81	pM
DoseResponse	Cobelli2010	normal	insulin	mM	4.9	50.0	41.5	pM
DoseResponse	Cobelli2010	normal	insulin	mM	4.95	38.97	35.83	pM
DoseResponse	Cobelli2010	normal	insulin	mM	5.0	38.29	27.2	pM
DoseResponse	Cobelli2010	normal	insulin	mM	5.03	36.78	29.34	pM
DoseResponse	Cobelli2010	normal	insulin	mM	4.98	28.26	22.02	pM
DoseResponse	Cobelli2010	normal	insulin	mM	4.85	21.4	14.25	pM
DoseResponse	Ferrannini1988	normal	insulin	mM	5.19	78.25	21.53	pM
DoseResponse	Ferrannini1988	normal	insulin	mM	8.99	421.2	40.92	pM
DoseResponse	Ferrannini1988	normal	insulin	mM	10.65	581.11	62.45	pM
